is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,dataset
0,72,2015,7,27,1,2,4,2,0,0,0,95,2,1,0,0,0,0,0,1,0,250,179,0,2,0.67736,0,1,Train
0,72,2015,7,27,1,2,4,2,0,0,0,95,2,1,0,0,0,3,3,1,0,250,179,0,2,0.79736,0,1,Train
0,127,2015,7,27,1,2,5,2,0,0,2,45,4,2,0,0,0,3,8,0,0,115,179,0,0,0.7596,0,1,Train
0,78,2015,7,27,1,2,5,2,0,0,0,95,4,2,0,0,0,3,3,0,0,5,179,0,2,0.5088,1,0,Train
0,48,2015,7,27,1,2,5,2,0,0,0,55,4,2,0,0,0,3,3,0,0,8,179,0,0,0.636,0,0,Train
1,60,2015,7,27,1,2,5,2,0,0,0,95,5,2,0,0,0,4,4,0,0,240,179,0,2,0.856,0,2,Train
0,77,2015,7,27,1,2,5,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.752,0,0,Train
0,99,2015,7,27,1,2,5,2,0,0,0,95,5,2,0,0,0,3,3,0,0,240,179,0,2,0.6984,1,1,Train
0,118,2015,7,27,1,4,10,1,0,0,0,95,2,1,0,0,0,0,0,2,0,14,179,0,2,0.496,0,2,Train
0,95,2015,7,27,1,4,11,2,0,0,0,45,4,2,0,0,0,3,3,0,0,241,179,0,2,0.51088,0,0,Train
1,96,2015,7,27,1,2,8,2,0,0,0,95,2,1,0,0,0,4,4,0,0,14,179,0,2,0.8664,0,2,Train
0,69,2015,7,27,2,2,4,2,0,0,0,55,4,2,0,0,0,0,2,0,0,175,179,0,2,0.524,0,0,Train
1,45,2015,7,27,2,1,3,3,0,0,0,95,5,2,0,0,0,3,3,0,0,241,179,0,2,0.8704,0,1,Train
1,40,2015,7,27,2,1,3,3,0,0,0,95,5,2,0,0,0,3,3,0,0,241,179,0,2,0.8704,0,1,Train
0,15,2015,7,27,2,1,3,2,0,0,0,40,5,2,0,0,0,0,2,0,0,240,179,0,2,0.784,0,0,Train
0,36,2015,7,27,2,1,3,3,0,0,0,95,5,2,0,0,0,3,3,0,0,241,179,0,2,0.8704,0,1,Train
1,43,2015,7,27,2,1,3,3,0,0,0,95,5,2,0,0,0,3,3,0,0,241,179,0,2,0.8704,0,0,Train
0,70,2015,7,27,2,2,3,2,0,0,2,97,2,1,0,0,0,4,4,0,0,250,179,0,2,1.096,0,1,Train
1,45,2015,7,27,2,2,3,2,0,0,0,95,5,2,0,0,0,6,6,0,0,241,179,0,2,0.94248,0,0,Train
0,45,2015,7,27,2,2,3,2,0,0,0,55,4,2,0,0,0,3,3,0,0,8,179,0,0,0.636,0,0,Train
0,16,2015,7,27,2,2,3,2,0,0,0,40,2,1,0,0,0,5,5,0,0,14,179,0,2,0.984,0,0,Train
0,70,2015,7,27,2,2,3,2,0,0,2,97,2,1,0,0,0,4,4,0,0,250,179,0,2,1.096,0,1,Train
0,107,2015,7,27,2,2,5,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.8856,0,2,Train
1,47,2015,7,27,2,2,5,2,2,0,0,95,5,2,0,0,0,6,6,0,0,240,179,0,2,1.224,0,0,Train
0,96,2015,7,27,2,2,5,2,0,0,0,40,4,2,0,0,0,0,0,0,0,134,179,0,2,0.4716,0,1,Train
0,113,2015,7,27,2,2,5,2,0,0,0,85,4,2,0,0,0,4,4,0,0,156,179,0,3,0.66304,0,2,Train
0,90,2015,7,27,2,2,5,2,0,0,2,45,4,2,0,0,0,0,1,1,0,243,179,0,0,0.6588,0,0,Train
0,50,2015,7,27,2,2,5,2,0,0,2,55,5,2,0,0,0,4,5,1,0,241,179,0,2,0.9548,0,1,Train
0,113,2015,7,27,2,2,5,2,0,0,0,85,4,2,0,0,0,3,3,0,0,156,179,0,3,0.54064,0,2,Train
0,93,2015,7,27,2,3,8,2,0,0,0,55,4,2,0,0,0,0,0,0,0,156,179,0,0,0.44808,0,0,Train
0,76,2015,7,27,2,4,10,2,0,0,0,88,4,2,0,0,0,3,3,0,0,243,179,0,0,0.8856,0,0,Train
0,3,2015,7,27,2,0,1,2,0,0,0,40,5,2,0,0,0,0,2,0,0,240,179,0,2,0.7056,1,0,Train
0,1,2015,7,27,2,0,1,2,0,0,0,4,5,2,0,0,0,7,7,0,0,240,179,0,2,1.176,1,0,Train
0,1,2015,7,27,2,0,1,2,2,0,0,40,2,1,0,0,0,2,2,0,0,14,179,0,2,0.856,1,2,Train
0,0,2015,7,27,2,0,1,2,0,0,0,95,2,1,0,0,0,7,7,0,0,14,179,0,2,1.176,0,0,Train
0,0,2015,7,27,2,0,1,2,0,0,0,95,5,2,0,0,0,0,3,0,0,240,179,0,2,0.9432,0,2,Train
0,0,2015,7,27,2,0,1,2,0,0,0,95,2,1,0,0,0,6,6,0,0,14,179,0,2,0.984,0,0,Train
0,14,2015,7,27,2,0,2,2,0,0,0,118,5,2,0,0,0,0,2,0,0,242,179,0,2,0.784,0,1,Train
0,10,2015,7,27,2,0,2,2,0,0,0,95,5,2,0,0,0,6,6,0,0,241,179,0,2,0.94248,0,0,Train
0,5,2015,7,27,2,0,2,2,0,0,0,55,5,2,0,0,0,4,4,0,0,240,179,0,2,1.08,1,2,Train
0,17,2015,7,27,2,0,3,2,0,0,0,40,2,1,0,0,0,5,5,0,0,250,179,0,2,1.064,0,1,Train
0,93,2015,7,27,2,0,3,2,0,0,0,55,4,2,0,0,0,0,2,0,0,115,179,0,0,0.4716,0,0,Train
1,3,2015,7,27,2,0,3,2,0,0,2,95,5,2,0,0,0,0,0,0,0,240,179,0,2,1.09064,0,2,Train
0,10,2015,7,27,3,0,2,2,2,0,0,118,5,2,0,0,0,6,7,0,0,240,179,0,2,1.224,1,0,Train
0,3,2015,7,27,3,0,2,2,0,0,0,40,5,2,0,0,0,0,2,0,0,240,179,0,2,0.884,0,0,Train
0,51,2015,7,27,3,0,2,2,0,0,0,93,5,2,0,0,0,3,3,0,0,242,179,0,2,0.776,0,0,Train
1,71,2015,7,27,3,0,2,3,0,0,0,95,4,2,0,0,0,0,0,0,0,242,179,0,2,0.8824,0,2,Train
1,63,2015,7,27,3,0,2,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.656,0,2,Train
1,62,2015,7,27,3,0,2,2,0,0,0,95,5,2,0,0,0,3,3,0,0,240,179,0,2,0.776,0,1,Train
1,101,2015,7,27,3,0,2,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.5904,0,1,Train
0,2,2015,7,27,3,0,2,2,0,0,2,95,4,2,0,0,0,0,0,0,0,3,179,0,2,0.732,0,0,Train
0,15,2015,7,27,3,0,2,2,0,0,0,40,5,2,0,0,0,0,0,0,0,240,179,0,2,0.916,0,0,Train
1,51,2015,7,27,3,0,2,3,0,0,0,95,5,2,0,0,0,0,0,0,0,242,179,0,2,0.8824,0,0,Train
0,3,2015,7,27,3,1,2,2,0,0,0,40,5,2,0,0,0,0,0,0,0,240,179,0,2,0.7272,1,0,Train
1,48,2015,7,27,3,1,2,2,0,0,0,95,5,2,0,0,0,4,4,0,0,240,179,0,2,0.984,0,0,Train
0,2,2015,7,27,3,2,2,1,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.976,0,0,Train
0,72,2015,7,27,3,2,2,2,0,0,0,33,4,2,0,0,0,0,0,0,0,105,179,0,2,0.8856,1,0,Train
0,81,2015,7,27,3,2,6,3,0,0,0,95,4,2,0,0,0,3,3,0,0,5,179,0,2,0.68688,0,0,Train
0,99,2015,7,27,3,2,7,2,0,0,0,44,4,2,0,0,0,0,0,0,0,40,179,0,0,0.4716,0,0,Train
1,368,2015,7,27,3,3,7,2,0,0,0,95,4,2,0,0,0,0,0,0,0,40,179,0,0,0.44544,0,0,Train
0,364,2015,7,27,3,3,7,2,0,0,0,45,4,2,0,0,0,0,0,0,0,40,179,0,0,0.44544,0,0,Train
1,81,2015,7,27,3,3,7,2,0,0,2,95,2,1,0,0,0,0,0,2,0,250,179,0,2,0.992,0,1,Train
0,99,2015,7,27,3,3,7,2,0,0,2,45,4,2,0,0,0,4,4,0,0,115,179,0,0,0.8892,0,0,Train
0,324,2015,7,27,3,4,10,2,0,0,2,45,4,2,0,0,0,4,4,0,0,40,179,0,0,1.07784,0,0,Train
0,69,2015,7,27,3,4,10,2,0,0,0,45,5,2,0,0,0,5,5,1,0,241,179,0,2,0.7396,0,1,Train
1,79,2015,7,27,3,6,15,2,1,0,0,95,4,2,0,0,0,0,0,0,0,242,179,0,2,0.86984,0,2,Train
0,12,2015,7,27,3,0,1,2,0,0,0,45,5,2,0,0,0,0,2,0,0,240,179,0,2,0.5904,0,0,Train
0,9,2015,7,27,3,0,1,2,0,0,0,95,5,2,0,0,0,0,2,0,0,240,179,0,2,0.784,1,2,Train
0,1,2015,7,27,3,0,1,2,0,0,0,40,5,2,0,0,0,0,2,0,0,240,179,0,2,1.048,0,1,Train
0,21,2015,7,27,3,0,1,2,0,0,0,95,5,2,0,0,0,4,4,0,0,240,179,0,2,0.984,0,0,Train
0,9,2015,7,27,3,0,1,2,0,0,0,118,5,2,0,0,0,2,2,0,0,241,179,0,2,0.75768,0,0,Train
0,109,2015,7,27,3,0,1,2,0,0,0,10,5,2,0,0,0,0,0,0,0,240,179,0,2,0.984,0,2,Train
1,109,2015,7,27,3,0,2,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.984,0,1,Train
1,72,2015,7,27,3,0,2,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.5904,0,1,Train
1,63,2015,7,27,3,2,5,2,0,0,0,95,5,2,0,0,0,5,5,0,0,242,179,0,2,0.936,0,1,Train
0,63,2015,7,27,3,2,5,3,0,0,2,40,4,2,0,0,0,4,4,0,0,105,179,0,2,1.57232,0,1,Train
0,101,2015,7,27,3,2,5,2,1,0,0,95,5,2,0,0,0,3,3,0,0,240,179,0,2,0.7944,1,2,Train
0,102,2015,7,27,3,2,5,2,0,0,0,33,2,1,0,0,0,4,4,0,0,250,179,0,2,0.7276,0,0,Train
0,4,2015,7,27,4,2,1,2,0,0,0,40,2,1,0,0,0,0,2,0,0,250,179,0,2,0.74136,0,1,Train
0,98,2015,7,27,4,2,1,2,0,0,0,44,4,2,0,0,0,3,3,0,0,8,179,0,2,0.5724,1,0,Train
0,92,2015,7,27,4,2,4,1,2,0,0,44,4,2,0,0,0,5,5,0,0,241,179,0,2,0.77192,0,2,Train
0,95,2015,7,27,4,2,4,2,0,0,0,95,5,2,0,0,0,0,2,0,0,240,179,0,2,0.6864,1,2,Train
0,102,2015,7,27,4,2,5,2,0,0,0,95,5,2,0,0,0,4,4,0,0,240,179,0,2,0.7704,0,1,Train
1,26,2015,7,27,4,2,5,2,2,0,0,95,5,2,0,0,0,7,7,0,0,240,179,0,2,1.304,0,0,Train
1,73,2015,7,27,4,2,5,3,0,0,2,95,2,1,0,0,0,3,3,0,0,250,179,0,2,1.376,0,1,Train
1,102,2015,7,27,4,2,5,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.8856,0,1,Train
0,115,2015,7,27,4,2,5,2,0,0,0,95,4,2,0,0,0,0,0,0,0,134,179,0,2,0.4716,0,1,Train
0,102,2015,7,27,4,2,5,2,0,1,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.5904,0,2,Train
0,86,2015,7,27,4,2,5,2,0,0,0,19,5,2,0,0,0,3,3,0,0,240,179,0,2,0.776,0,2,Train
0,78,2015,7,27,4,2,5,2,0,1,2,95,5,2,0,0,0,4,5,0,0,240,179,0,2,1.112,0,2,Train
0,52,2015,7,27,4,2,5,2,0,0,0,45,5,2,0,0,0,0,0,0,0,147,179,0,2,0.53792,0,0,Train
0,29,2015,7,27,4,2,6,3,0,0,0,95,5,2,0,0,0,4,4,0,0,241,179,0,2,0.932,0,1,Train
1,101,2015,7,27,4,2,6,2,0,0,0,95,5,2,0,0,0,4,4,0,0,240,179,0,2,0.7704,0,1,Train
0,109,2015,7,27,4,2,6,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.984,0,1,Train
0,92,2015,7,27,4,4,6,2,0,0,0,45,4,2,0,0,0,3,3,0,0,40,179,0,0,0.5724,0,1,Train
0,92,2015,7,27,4,4,6,2,0,0,0,95,4,2,0,0,0,3,3,0,0,40,179,0,0,0.5724,0,1,Train
0,79,2015,7,27,4,4,6,2,1,0,2,95,2,1,0,0,0,3,3,1,0,250,179,0,2,1.192,0,1,Train
0,2,2015,7,27,4,0,1,2,2,0,0,95,5,2,0,0,0,7,6,1,0,240,179,0,2,1.304,1,0,Train
0,30,2015,7,27,4,0,1,2,0,0,0,95,4,2,0,0,0,3,2,0,0,8,179,0,0,0.636,0,0,Train
1,51,2015,7,27,4,0,1,1,0,0,2,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.84,0,0,Train
1,36,2015,7,27,4,0,1,1,0,0,0,95,2,1,0,0,0,4,6,1,0,250,179,0,2,0.984,0,0,Train
1,73,2015,7,27,4,0,1,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.5904,0,2,Train
1,33,2015,7,27,4,0,1,2,0,0,0,95,5,2,0,0,0,3,3,0,0,240,179,0,2,0.904,0,0,Train
0,32,2015,7,27,4,0,1,4,0,0,1,95,0,1,0,0,0,7,7,2,0,14,179,0,2,0,0,1,Train
0,8,2015,7,27,4,0,1,2,0,0,0,40,5,2,0,0,0,4,4,0,0,240,179,0,2,0.984,0,0,Train
0,100,2015,7,27,4,1,1,2,0,0,0,44,5,2,0,0,0,0,2,0,0,240,179,0,3,0.5904,1,1,Train
0,1,2015,7,27,4,1,1,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.916,0,0,Train
0,100,2015,7,27,4,1,1,2,0,0,0,44,5,2,0,0,0,0,0,0,0,240,179,0,3,0.5904,0,2,Train
0,100,2015,7,27,4,1,1,2,0,0,0,44,5,2,0,0,0,0,2,0,0,240,179,0,3,0.5904,0,1,Train
0,9,2015,7,28,5,1,0,2,0,0,0,40,5,2,0,0,0,0,2,0,0,240,179,0,2,0.7056,0,1,Train
1,5,2015,7,28,5,1,0,2,0,0,0,95,5,2,0,0,0,3,3,0,0,240,179,0,2,0.776,0,0,Train
0,0,2015,7,28,5,1,0,2,0,0,0,40,5,2,0,0,0,0,2,1,0,306,179,0,2,0.6808,0,0,Train
0,9,2015,7,28,5,1,0,1,0,0,0,33,5,2,0,0,0,0,0,0,0,184,179,0,2,0.712,0,0,Train
0,2,2015,7,28,5,1,0,1,0,0,0,95,5,2,0,0,0,0,3,0,0,240,179,0,2,0.6408,0,0,Train
0,2,2015,7,28,5,1,0,2,0,0,0,95,5,2,0,0,0,0,4,0,0,240,179,0,2,0.784,0,0,Train
0,9,2015,7,28,5,1,0,1,0,0,0,33,5,2,0,0,0,0,0,0,0,184,179,0,2,0.808,1,0,Train
1,5,2015,7,28,5,1,0,2,0,0,0,95,5,2,0,0,0,3,3,0,0,240,179,0,2,0.776,0,0,Train
0,2,2015,7,28,5,1,0,2,0,0,0,95,2,1,0,0,0,6,6,0,0,14,179,0,2,1.336,0,1,Train
0,44,2015,7,28,5,2,0,3,0,0,2,95,5,2,0,0,0,6,6,3,0,240,179,0,2,1.8,2,0,Train
0,80,2015,7,28,5,2,0,2,0,0,0,44,5,2,0,0,0,3,4,0,0,240,179,0,2,0.776,1,0,Train
0,97,2015,7,28,5,2,2,2,0,0,0,40,5,2,0,0,0,3,3,0,0,240,179,0,2,0.6984,0,2,Train
0,109,2015,7,28,5,2,3,2,1,0,0,24,4,2,0,0,0,0,3,0,0,241,179,0,2,0.68472,1,2,Train
0,30,2015,7,28,5,2,3,2,0,0,0,40,5,2,0,0,0,4,4,0,0,240,179,0,2,0.984,0,0,Train
0,64,2015,7,28,5,2,3,2,0,0,0,95,5,2,0,0,0,4,4,0,0,240,179,0,2,0.856,0,0,Train
0,39,2015,7,28,5,2,4,2,0,0,0,40,5,2,0,0,0,7,7,0,0,240,179,0,2,1.304,0,0,Train
0,90,2015,7,28,5,2,4,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.656,0,0,Train
1,34,2015,7,28,5,2,4,2,2,0,0,95,5,2,0,0,0,7,7,0,0,240,179,0,2,1.304,0,0,Train
1,93,2015,7,28,5,2,5,2,0,0,2,95,4,2,0,0,0,3,3,0,0,15,179,0,2,0.844,0,0,Train
0,97,2015,7,28,5,2,5,2,2,0,2,95,2,1,0,0,0,2,2,1,0,250,179,0,2,1.3136,1,1,Train
0,29,2015,7,28,5,2,5,2,0,0,0,55,5,2,0,0,0,5,5,0,0,241,179,0,2,0.77832,0,1,Train
1,101,2015,7,28,5,2,5,2,0,0,2,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.912,0,1,Train
0,27,2015,7,28,5,2,5,2,0,0,0,40,4,2,0,0,0,4,4,0,0,175,179,0,2,0.7872,0,0,Train
0,8,2015,7,28,5,4,5,2,2,0,0,19,5,2,0,0,0,7,7,1,0,240,179,0,2,1.4,1,1,Train
0,82,2015,7,28,5,4,6,2,0,0,0,95,4,2,0,0,0,3,3,0,0,5,179,0,2,0.5088,1,2,Train
0,94,2015,7,28,5,4,6,3,0,0,0,95,2,1,0,0,0,3,2,3,0,14,179,0,2,0.9956,1,1,Train
0,110,2015,7,28,5,4,7,2,0,0,0,45,4,2,0,0,0,3,3,0,0,40,179,0,0,0.8856,0,0,Train
0,96,2015,7,28,5,4,10,1,0,0,2,45,4,2,0,0,0,0,0,0,0,40,179,0,0,0.59256,0,0,Train
0,79,2015,7,28,5,4,10,2,0,0,2,45,4,2,0,0,0,3,3,0,0,243,179,0,0,1.0728,0,0,Train
0,115,2015,7,28,6,1,4,2,2,0,0,95,5,2,0,0,0,6,6,1,0,240,179,0,2,1.336,0,0,Train
0,111,2015,7,28,6,1,3,2,0,0,0,95,5,2,0,0,0,0,2,0,0,240,179,0,2,0.984,0,2,Train
0,51,2015,7,28,6,1,3,2,0,0,0,118,5,2,0,0,0,6,6,0,0,241,179,0,2,0.94248,1,2,Train
0,94,2015,7,28,6,1,3,3,0,0,0,24,4,2,0,0,0,3,3,0,0,96,179,0,2,1.37056,0,1,Train
0,81,2015,7,28,6,1,3,2,2,0,2,19,2,1,0,0,0,6,6,0,0,250,179,0,2,1.68,1,0,Train
0,84,2015,7,28,6,1,3,2,0,1,0,95,5,2,0,0,0,3,4,1,0,240,179,0,2,0.776,0,2,Train
0,51,2015,7,28,6,1,3,3,0,0,0,118,5,2,0,0,0,6,6,0,0,241,179,0,2,0.94248,0,2,Train
0,111,2015,7,28,6,0,0,2,0,0,0,95,5,2,0,0,0,0,7,0,0,240,179,0,2,0,0,2,Train
0,0,2015,7,28,6,0,0,1,0,0,0,95,2,1,0,0,0,4,7,0,0,250,179,0,2,0,0,0,Train
0,2,2015,7,28,6,1,0,2,1,0,0,95,2,1,0,0,0,0,4,0,0,14,179,0,2,1.048,0,0,Train
0,7,2015,7,28,6,1,1,2,0,0,0,95,5,2,0,0,0,0,4,0,0,240,179,0,2,0.784,0,2,Train
0,98,2015,7,28,6,1,1,2,0,0,0,118,5,2,0,0,0,3,5,0,0,240,179,0,2,0.6984,1,1,Train
0,95,2015,7,28,6,1,2,2,0,0,0,49,5,2,0,0,0,3,3,0,0,240,179,0,2,0.776,0,1,Train
1,48,2015,7,28,6,1,3,2,0,0,2,95,5,2,0,0,0,4,4,0,0,240,179,0,2,1.336,0,0,Train
0,66,2015,7,28,6,1,3,2,0,0,2,95,4,2,0,0,0,0,4,0,0,175,179,0,2,0.732,0,0,Train
0,104,2015,7,28,6,1,3,2,0,0,0,95,5,2,0,0,0,0,2,1,0,240,179,0,2,0.5904,0,1,Train
0,28,2015,7,28,6,1,4,2,0,0,0,95,5,2,0,0,0,4,4,0,0,240,179,0,2,0.984,0,0,Train
0,34,2015,7,28,6,1,4,2,0,0,2,95,2,1,0,0,0,5,5,0,0,250,179,0,2,1.4,1,0,Train
0,98,2015,7,28,6,1,5,2,0,0,2,40,5,2,0,0,0,0,2,0,0,240,179,0,2,0.9424,1,1,Train
0,104,2015,7,28,6,1,5,2,0,0,0,95,5,2,0,0,0,4,4,1,0,240,179,0,2,0.94104,0,0,Train
0,68,2015,7,28,6,2,5,2,2,0,2,95,5,2,0,0,0,6,6,0,0,240,179,0,2,1.48,0,0,Train
1,86,2015,7,28,6,2,5,1,0,0,2,95,4,2,0,0,0,0,0,0,0,175,179,0,2,0.568,0,1,Train
0,258,2015,7,28,6,2,5,2,0,0,0,45,4,2,0,0,0,0,0,0,0,2,179,0,0,0.378,0,0,Train
0,111,2015,7,28,6,3,5,2,0,0,2,95,5,2,0,0,0,0,2,0,0,240,179,0,2,1.208,0,1,Train
1,94,2015,7,28,6,3,7,2,0,0,0,95,5,2,0,0,0,3,3,0,0,240,179,0,2,0.6984,0,0,Train
0,112,2015,7,28,6,3,7,2,0,0,0,45,4,2,0,0,0,0,0,0,0,242,179,0,2,0.9648,0,1,Train
0,100,2015,7,28,6,3,7,2,0,0,0,45,4,2,0,0,0,3,3,1,0,241,179,0,2,0.51088,0,1,Train
0,33,2015,7,28,6,3,7,2,0,0,2,95,2,1,0,0,0,5,5,5,0,250,179,0,2,1.2568,0,1,Train
0,97,2015,7,28,6,3,7,2,0,0,2,45,4,2,0,0,0,3,3,0,0,156,179,0,0,0.73096,0,2,Train
0,80,2015,7,28,6,3,8,1,0,0,0,44,2,1,0,0,0,0,0,1,0,14,179,0,2,0.584,0,0,Train
0,90,2015,7,28,6,4,10,2,0,0,0,59,4,2,0,0,0,3,3,0,0,8,179,0,0,0.8856,0,0,Train
0,111,2015,7,28,6,4,10,2,0,0,0,45,4,2,0,0,0,0,0,0,0,40,179,0,0,0.7488,0,0,Train
0,65,2015,7,28,6,2,5,2,0,0,0,95,4,2,0,0,0,3,3,0,0,127,179,0,2,0.668,0,0,Train
1,67,2015,7,28,7,0,2,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.5904,0,1,Train
0,55,2015,7,28,7,0,3,2,0,0,0,40,5,2,0,0,0,0,0,0,0,240,179,0,2,0.656,1,2,Train
0,21,2015,7,28,7,0,3,2,1,0,2,95,2,1,0,0,0,5,5,0,0,250,179,0,2,1.484,0,1,Train
0,8,2015,7,28,7,0,0,2,0,0,0,95,2,1,0,0,0,0,0,0,0,14,179,0,2,0,0,1,Train
0,8,2015,7,28,7,0,0,2,0,0,0,95,5,2,0,0,0,0,4,0,0,240,179,0,2,0,0,1,Train
0,0,2015,7,28,7,0,1,1,0,0,0,45,5,2,0,0,0,0,0,0,0,240,179,0,2,0.8784,0,3,Train
0,0,2015,7,28,7,0,1,3,0,0,2,95,2,1,0,0,0,2,2,0,0,14,179,0,2,1.56,1,0,Train
0,0,2015,7,28,7,0,1,1,0,0,0,45,5,2,0,0,0,0,0,0,0,240,179,0,2,0.8784,0,3,Train
0,8,2015,7,28,7,0,4,3,2,0,0,40,5,2,0,0,0,7,7,2,0,240,179,0,2,1.544,0,1,Train
0,66,2015,7,28,7,0,4,2,0,0,0,95,5,2,0,0,0,3,3,0,0,240,179,0,2,0.776,0,2,Train
0,88,2015,7,28,7,0,4,3,0,0,2,118,4,2,0,0,0,3,4,0,0,95,179,0,2,1.2,0,1,Train
0,0,2015,7,28,7,0,4,2,0,0,0,84,2,1,0,0,0,0,0,2,0,14,179,0,2,0.784,0,0,Train
1,43,2015,7,28,7,0,5,2,0,0,2,95,4,2,0,0,0,0,0,0,0,134,179,0,2,0.732,0,0,Train
1,88,2015,7,28,7,2,5,2,0,0,2,95,5,2,0,0,0,4,4,0,0,240,179,0,2,1.112,0,2,Train
0,54,2015,7,28,7,2,5,2,0,0,0,55,4,2,0,0,0,3,3,0,0,8,179,0,2,0.636,0,0,Train
1,292,2015,7,28,7,2,5,2,0,0,0,95,4,2,0,0,0,0,0,0,0,2,179,0,0,0.378,0,0,Train
0,112,2015,7,28,7,4,10,2,0,0,2,55,4,2,0,0,0,3,3,0,0,156,179,0,0,1.0132,0,1,Train
0,68,2015,7,28,8,0,3,2,0,0,0,45,5,2,0,0,0,4,4,0,0,240,179,0,2,0.856,0,1,Train
